#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2022-05-23T14:51:11 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ628b9f383dd816	
#INFO	-out.max=unlimited	
#INFO	queryParameters=46	
#-oc.form=dec
#-out.max=unlimited
#-sort=_r
#-nav=cat:J/MNRAS/504/3831&tab:{J/MNRAS/504/3831/tabled1}&tab:{J/MNRAS/504/3831/tabled2}&key:source=J/MNRAS/504/3831&HTTPPRM:&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/MNRAS/504/3831/tabled1,J/MNRAS/504/3831/tabled2
#-order=I
#-out=GALFIT
#-out=SFRS
#-out=Name
#-out=SDSS
#-out=umag
#-out=e_umag
#-out=rmag
#-out=e_rmag
#-out=2MASS
#-out=Jmag
#-out=e_Jmag
#-out=Hmag
#-out=e_Hmag
#-out=Kmag
#-out=e_Kmag
#-out=SimbadName
#-out=_RA
#-out=_DE
#-out=Model
#-out=Comp
#-out=Phys
#-out=n
#-out=R
#-out=Kcorr
#-out=LK
#-out=u-r
#-out=M/L
#-out=M/Lgal
#-out=M
#-out=Mgal
#-out=Method
#-out=B/T
#-out=e_B/T
#-out=Dist
#-out=Nuc
#-out=Weight
#
#INFO	CatalogsExamined=2	
#  2 catalogues with potential matches were examined.
#
#Table	J_MNRAS_504_3831_tabled2:
#Name: J/MNRAS/504/3831/tabled2
#Title: GALFIT model results for the SFRS sample
#Column	Name	(a22)	Common galaxy name	[ucd=meta.id;meta.main]
#Column	Kmag	(F5.2)	Component K-band magnitude (Vega)	[ucd=phot.mag;em.IR.K]
#Column	e_Kmag	(F5.2)	Component K-band magnitude (Vega) error	[ucd=stat.error;phot.mag]
#Column	Model	(a23)	Selected model (see definition in Sect. 4.2)	[ucd=stat.param;meta.modelled]
#Column	Comp	(a9)	Selected model component (see definition in Sect. 4.2) (1)	[ucd=stat.param]
#Column	Phys	(A5)	Physical interpretation of component (2)	[ucd=src.class]
#Column	n	(F4.1)	? Sersic index	[ucd=stat.fit.param]
#Column	R	(F5.1)	? Effective radius (for Sersic), or scale height (for exDisk)	[ucd=phys.angSize]
#Column	Kcorr	(F6.3)	K correction factor	[ucd=arith.factor;phot.mag]
#Column	LK	(D9.2)	Component K-band luminosity	[ucd=phys.luminosity;em.IR]
#Column	u-r	(F5.2)	? Component color form our decomposition (the global galaxy color is reported in Table D1)	[ucd=phot.color;em.opt.U;em.opt.R]
#Column	M/L	(F6.3)	? Component mass-to-light ratio	[ucd=phys.composition.massLightRatio]
#Column	M/Lgal	(F6.3)	Galaxy mass-to-light ratio	[ucd=phys.composition.massLightRatio]
#Column	M	(E9.2)	? Component mass (3)	[ucd=phys.mass]
#Column	Mgal	(E9.2)	Component mass	[ucd=phys.mass]
#Column	Method	(A6)	Decomposition method (4)	[ucd=meta.note]
#Column	B/T	(F6.3)	? Bulge-to-total ratio	[ucd=phys.luminosity;arith.ratio]
#Column	e_B/T	(F6.3)	? Bulge-to-total ratio error	[ucd=stat.error]
#Column	Dist	(E9.2)	Distance from Ashby et al. (2011PASP..123.1011A, Cat. J/PASP/123/1011)	[ucd=pos.distance]
#Column	Nuc	(a6)	Nuclear classification by Maragkoudakis et al. (2018)	[ucd=meta.code.class]
#Column	Weight	(F4.1)	Galaxy representativeness weight from Ashby et al. (2011PASP..123.1011A, Cat. J/PASP/123/1011) (5)	[ucd=stat.weight;phys.atmol.weight]
Name|Kmag|e_Kmag|Model|Comp|Phys|n|R|Kcorr|LK|u-r|M/L|M/Lgal|M|Mgal|Method|B/T|e_B/T|Dist|Nuc|Weight
NGC3633               |10.08| 0.03|Sersic+exDisk          |exDisk   |disk |    |  7.3| 0.980| 9.08e+42| 2.47| 0.895| 0.928| 1.64e+10| 2.06e+10|GALFIT| 0.178| 0.067| 3.00e+07|HII   | 9.5
NGC3652               |10.21| 0.04|Sersic+psfAgn          |Sersic   |disk | 1.2| 22.5| 0.985| 2.16e+42| 1.13| 0.676| 0.734| 2.94e+09| 3.22e+09|GALFIT| 0.007| 0.011| 1.55e+07|HII   | 4.7
NGC3652               |15.60| 0.13|Sersic+psfAgn          |psfAgn   |bulge|    |     | 0.985| 1.51e+40| 2.84| 0.967| 0.734| 2.94e+07| 3.22e+09|GALFIT| 0.007| 0.011| 1.55e+07|HII   | 4.7
NGC3656               | 9.09| 0.04|Sersic+psfAgn          |Sersic   |disk | 3.1| 17.0| 0.979| 3.43e+43| 2.94| 0.988| 1.012| 6.82e+10| 7.19e+10|GALFIT| 0.025| 0.011| 3.70e+07|LINER |12.1
NGC3656               |13.05| 0.06|Sersic+psfAgn          |psfAgn   |bulge|    |     | 0.979| 8.95e+41| 2.94| 0.988| 1.012| 1.78e+09| 7.19e+10|GALFIT| 0.025| 0.011| 3.70e+07|LINER |12.1
NGC3659               |10.45| 0.04|Sersic+psfAgn          |Sersic   |disk | 0.8| 15.6| 0.995| 3.21e+42| 1.51| 0.732| 0.741| 4.73e+09| 4.83e+09|GALFIT| 0.009| 0.006| 2.10e+07|HII   | 4.6
NGC3659               |15.55| 0.11|Sersic+psfAgn          |psfAgn   |bulge|    |     | 0.995| 2.93e+40| 1.72| 0.765| 0.741| 4.51e+07| 4.83e+09|GALFIT| 0.009| 0.006| 2.10e+07|HII   | 4.6
NGC3664               |12.43| 0.05|Sersic                 |Sersic   |disk | 0.5| 11.5| 0.995| 8.50e+41| 2.01| 0.813| 0.733| 1.39e+09| 1.25e+09|GALFIT|      |      | 2.69e+07|HII   | 2.0
NGC3666               |11.53| 0.09|Sersic+exDisk          |Sersic   |bulge| 4.0|  7.2| 0.992| 7.14e+41| 4.54| 1.381| 0.843| 1.98e+09| 9.97e+09|GALFIT| 0.121| 0.048| 1.63e+07|HII   |13.2
NGC3666               | 9.38| 0.03|Sersic+exDisk          |exDisk   |disk |    | 16.4| 0.992| 5.17e+42| 1.96| 0.804| 0.843| 8.36e+09| 9.97e+09|GALFIT| 0.121| 0.048| 1.63e+07|HII   |13.2
IC691                 |11.02| 0.04|Sersic_n4              |Sersic_n4|bulge| 4.0|  2.8| 0.990| 1.10e+42| 2.65| 0.929| 0.722| 2.06e+09| 1.59e+09|GALFIT| 1.000| 0.265| 1.60e+07|HII   | 6.9
NGC3686               | 8.10| 0.04|Sersic+psfAgn          |Sersic   |disk | 1.4| 51.2| 0.990| 2.78e+43| 1.82| 0.781| 0.770| 4.37e+10| 4.35e+10|GALFIT| 0.012| 0.001| 2.10e+07|HII   |13.2
NGC3686               |12.85| 0.04|Sersic+psfAgn          |psfAgn   |bulge|    |     | 0.990| 3.50e+41| 0.82| 0.633| 0.770| 4.46e+08| 4.35e+10|GALFIT| 0.012| 0.001| 2.10e+07|HII   |13.2
UGC6469               |11.37| 0.04|Sersic                 |Sersic   |disk | 1.5|  7.2| 0.977| 3.23e+43| 2.01| 0.813| 0.744| 5.28e+10| 4.83e+10|GALFIT|      |      | 1.03e+08|HII   | 7.0
IC698                 |10.26| 0.03|Sersic+psfAgn          |Sersic   |disk | 1.3|  7.8| 0.931| 7.61e+43| 2.30| 0.864| 0.855| 1.32e+11| 1.40e+11|GALFIT| 0.060| 0.015| 9.68e+07|HII   |13.2
IC698                 |13.25| 0.05|Sersic+psfAgn          |psfAgn   |bulge|    |     | 0.931| 4.85e+42| 3.53| 1.117| 0.855| 1.09e+10| 1.40e+11|GALFIT| 0.060| 0.015| 9.68e+07|HII   |13.2
IRAS11267+1558        |14.21| 0.06|Sersic                 |Sersic   |disk | 0.2|  0.7| 0.743| 9.25e+43| 2.01| 0.813| 0.683| 1.51e+11| 1.27e+11|GALFIT|      |      | 7.37e+08|HII   | 1.5
NGC3705               | 7.96| 0.03|Sersic+psfAgn          |Sersic   |disk | 2.0| 28.2| 0.993| 1.91e+43| 2.46| 0.893| 0.707| 3.43e+10| 2.82e+10|GALFIT| 0.037| 0.004| 1.63e+07|LINER |13.2
NGC3705               |11.50| 0.03|Sersic+psfAgn          |psfAgn   |bulge|    |     | 0.993| 7.34e+41| 4.49| 1.366| 0.707| 2.02e+09| 2.82e+10|GALFIT| 0.037| 0.004| 1.63e+07|LINER |13.2
MCG3-29-061           |11.27| 0.04|Sersic+psfAgn          |Sersic   |disk | 1.1|  8.7| 0.963| 1.51e+43| 2.13| 0.833| 0.844| 2.53e+10| 2.81e+10|GALFIT| 0.085| 0.024| 6.75e+07|HII   | 6.9
MCG3-29-061           |13.85| 0.06|Sersic+psfAgn          |psfAgn   |bulge|    |     | 0.963| 1.40e+42| 2.13| 0.833| 0.844| 2.35e+09| 2.81e+10|GALFIT| 0.085| 0.024| 6.75e+07|HII   | 6.9
NGC3720               | 9.26| 0.04|Sersic                 |Sersic   |mixed| 3.4| 18.8| 0.960| 1.69e+44|     |      | 0.871|         | 2.97e+11|C->B/T| 0.089| 0.024| 8.98e+07|HII   | 4.0
NGC3729               | 8.31| 0.04|Sersic+psfAgn          |Sersic   |disk | 1.5| 43.3| 0.999| 1.53e+43| 2.04| 0.818| 0.841| 2.52e+10| 2.64e+10|GALFIT| 0.018| 0.004| 1.71e+07|HII   | 5.0
NGC3729               |12.66| 0.04|Sersic+psfAgn          |psfAgn   |bulge|    |     | 0.999| 2.79e+41| 2.49| 0.899| 0.841| 5.05e+08| 2.64e+10|GALFIT| 0.018| 0.004| 1.71e+07|HII   | 5.0
MCG10-17-019          |10.89| 0.04|Sersic+psfAgn          |Sersic   |disk | 2.2|  6.6| 0.942| 7.48e+43| 2.07| 0.823| 0.828| 1.24e+11| 1.29e+11|GALFIT| 0.033| 0.016| 1.28e+08|HII   | 5.0
MCG10-17-019          |14.55| 0.14|Sersic+psfAgn          |psfAgn   |bulge|    |     | 0.942| 2.57e+42| 2.07| 0.823| 0.828| 4.26e+09| 1.29e+11|GALFIT| 0.033| 0.016| 1.28e+08|HII   | 5.0
NGC3758               |10.64| 0.04|Sersic+psfAgn          |Sersic   |disk | 2.0| 10.1| 0.878| 9.34e+43| 1.81| 0.779| 0.805| 1.46e+11| 2.17e+11|GALFIT| 0.302| 0.067| 1.32e+08|SN    | 4.8
NGC3758               |11.55| 0.04|Sersic+psfAgn          |psfAgn   |bulge|    |     | 0.878| 4.04e+43| 0.90| 0.644| 0.805| 5.23e+10| 2.17e+11|GALFIT| 0.302| 0.067| 1.32e+08|SN    | 4.8
UGC6583               |11.29| 0.04|Sersic+psfAgn          |Sersic   |disk | 1.1|  6.0| 0.970| 2.85e+43| 1.44| 0.721| 0.742| 4.13e+10| 4.66e+10|GALFIT| 0.086| 0.032| 9.32e+07|HII   | 8.7
UGC6583               |13.85| 0.05|Sersic+psfAgn          |psfAgn   |bulge|    |     | 0.970| 2.69e+42| 1.34| 0.706| 0.742| 3.82e+09| 4.66e+10|GALFIT| 0.086| 0.032| 9.32e+07|HII   | 8.7
MCG1-30-003           |12.18| 0.03|Sersic+psfAgn          |Sersic   |disk | 0.4|  6.2| 0.924| 2.28e+43| 1.84| 0.784| 0.727| 3.60e+10| 4.02e+10|GALFIT| 0.169| 0.065| 1.29e+08|HII   | 7.0
MCG1-30-003           |13.91| 0.04|Sersic+psfAgn          |psfAgn   |bulge|    |     | 0.924| 4.64e+42| 2.66| 0.931| 0.727| 8.69e+09| 4.02e+10|GALFIT| 0.169| 0.065| 1.29e+08|HII   | 7.0
NGC3769               | 9.21| 0.04|Sersic+psfAgn          |Sersic   |disk | 1.2| 26.4| 0.993| 6.66e+42| 1.74| 0.768| 0.801| 1.03e+10| 1.08e+10|GALFIT| 0.010| 0.004| 1.71e+07|HII   | 5.0
NGC3769               |14.20| 0.05|Sersic+psfAgn          |psfAgn   |bulge|    |     | 0.993| 6.72e+40| 1.92| 0.797| 0.801| 1.08e+08| 1.08e+10|GALFIT| 0.010| 0.004| 1.71e+07|HII   | 5.0
NGC3773               |10.27| 0.05|Sersic+psfAgn          |Sersic   |disk | 3.9| 22.4| 0.995| 2.28e+42| 2.01| 0.813| 0.729| 3.73e+09| 3.41e+09|GALFIT| 0.022| 0.011| 1.63e+07|HII   | 2.3
NGC3773               |14.39| 0.08|Sersic+psfAgn          |psfAgn   |bulge|    |     | 0.995| 5.14e+40| 2.65| 0.929| 0.729| 9.61e+07| 3.41e+09|GALFIT| 0.022| 0.011| 1.63e+07|HII   | 2.3
NGC3781               |10.10| 0.04|Sersic                 |Sersic   |mixed| 8.3|  8.4| 0.937| 1.01e+44|     |      | 0.922|         | 1.88e+11|C->B/T| 0.166| 0.044| 1.04e+08|SN    |14.2
UGC6625               |11.45| 0.09|Sersic+psfAgn+exDisk   |Sersic   |bulge| 4.0|  8.2| 0.927| 6.76e+43| 3.27| 1.058| 0.811| 1.44e+11| 1.92e+11|GALFIT| 0.573| 0.090| 1.58e+08|TO    | 5.0
UGC6625               |14.43| 0.11|Sersic+psfAgn+exDisk   |psfAgn   |AGN  |    |     | 0.927| 4.34e+42|     |      | 0.811|         | 1.92e+11|GALFIT| 0.573| 0.090| 1.58e+08|TO    | 5.0
UGC6625               |11.77| 0.07|Sersic+psfAgn+exDisk   |exDisk   |disk |    |  5.9| 0.927| 5.03e+43| 1.32| 0.703| 0.811| 7.11e+10| 1.92e+11|GALFIT| 0.573| 0.090| 1.58e+08|TO    | 5.0
NGC3808_NED02         |11.58| 0.04|Sersic+psfAgn          |Sersic   |disk | 2.2|  4.5| 0.944| 2.81e+43| 1.77| 0.773| 0.747| 4.37e+10| 4.75e+10|GALFIT| 0.109| 0.029| 1.07e+08|HII   | 4.0
NGC3808_NED02         |13.86| 0.06|Sersic+psfAgn          |psfAgn   |bulge|    |     | 0.944| 3.44e+42| 1.58| 0.743| 0.747| 5.14e+09| 4.75e+10|GALFIT| 0.109| 0.029| 1.07e+08|HII   | 4.0
NGC3811               |11.34| 0.04|Sersic+exDisk          |Sersic   |bulge| 4.0|  1.1| 0.977| 9.26e+42| 2.43| 0.887| 0.885| 1.65e+10| 6.94e+10|GALFIT| 0.237| 0.033| 5.42e+07|HII   |14.5
NGC3811               |10.07| 0.04|Sersic+exDisk          |exDisk   |disk |    | 12.6| 0.977| 2.98e+43| 1.99| 0.809| 0.885| 4.85e+10| 6.94e+10|GALFIT| 0.237| 0.033| 5.42e+07|HII   |14.5
NGC3822               | 9.60| 0.03|Sersic+psfAgn          |Sersic   |disk | 1.7|  9.5| 0.936| 1.34e+44| 2.28| 0.860| 0.873| 2.32e+11| 2.49e+11|GALFIT| 0.050| 0.013| 9.46e+07|SN    | 8.7
NGC3822               |12.79| 0.05|Sersic+psfAgn          |psfAgn   |bulge|    |     | 0.936| 7.11e+42| 1.92| 0.797| 0.873| 1.14e+10| 2.49e+11|GALFIT| 0.050| 0.013| 9.46e+07|SN    | 8.7
UGC6665               |11.89| 0.07|Sersic+exDisk          |Sersic   |bulge| 4.0|  2.5| 0.964| 1.35e+43| 2.65| 0.929| 0.643| 2.52e+10| 2.99e+10|GALFIT| 0.584| 0.122| 8.50e+07|HII   | 8.1
UGC6665               |12.26| 0.06|Sersic+exDisk          |exDisk   |disk |    |  2.4| 0.964| 9.62e+42| 2.01| 0.813| 0.643| 1.57e+10| 2.99e+10|GALFIT| 0.584| 0.122| 8.50e+07|HII   | 8.1
MCG3-30-051           |11.15| 0.04|Sersic                 |Sersic   |disk | 1.2|  5.2| 0.956| 3.00e+43| 2.01| 0.813| 0.832| 4.91e+10| 5.03e+10|GALFIT|      |      | 9.04e+07|HII   | 8.7
NGC3839               |10.71| 0.03|Sersic+psfAgn          |Sersic   |disk | 1.3|  8.3| 0.946| 4.54e+43| 1.69| 0.760| 0.743| 6.94e+10| 7.04e+10|GALFIT| 0.039| 0.021| 9.13e+07|HII   |13.2
NGC3839               |14.19| 0.09|Sersic+psfAgn          |psfAgn   |bulge|    |     | 0.946| 1.84e+42| 1.76| 0.771| 0.743| 2.85e+09| 7.04e+10|GALFIT| 0.039| 0.021| 9.13e+07|HII   |13.2
UGC6732               |10.31| 0.04|Sersic+psfAgn          |Sersic   |disk | 1.8|  4.9| 0.978| 2.34e+43| 2.14| 0.835| 0.820| 3.93e+10| 4.27e+10|GALFIT| 0.094| 0.018| 5.36e+07|LINER | 2.3
UGC6732               |12.77| 0.06|Sersic+psfAgn          |psfAgn   |bulge|    |     | 0.978| 2.43e+42| 2.55| 0.910| 0.820| 4.45e+09| 4.27e+10|GALFIT| 0.094| 0.018| 5.36e+07|LINER | 2.3
IC730                 |10.41| 0.04|Sersic+psfAgn          |Sersic   |disk | 2.7|  5.8| 0.931| 6.13e+43| 2.98| 0.996| 0.935| 1.23e+11| 1.28e+11|GALFIT| 0.097| 0.034| 9.31e+07|HII   |13.2
IC730                 |12.83| 0.09|Sersic+psfAgn          |psfAgn   |bulge|    |     | 0.931| 6.60e+42| 3.07| 1.015| 0.935| 1.35e+10| 1.28e+11|GALFIT| 0.097| 0.034| 9.31e+07|HII   |13.2
IC732_NED01           |12.36| 0.09|Sersic+exDisk          |Sersic   |bulge| 4.0|  1.3| 0.905| 1.38e+43| 2.47| 0.895| 0.896| 2.49e+10| 5.15e+10|GALFIT| 0.484| 0.144| 1.10e+08|HII   | 8.4
IC732_NED01           |12.29| 0.07|Sersic+exDisk          |exDisk   |disk |    |  3.7| 0.905| 1.47e+43| 2.36| 0.875| 0.896| 2.59e+10| 5.15e+10|GALFIT| 0.484| 0.144| 1.10e+08|HII   | 8.4
NGC3912               | 9.99| 0.04|Sersic+psfAgn          |Sersic   |disk | 1.3| 17.5| 0.989| 5.60e+42| 1.57| 0.741| 0.780| 8.35e+09| 8.94e+09|GALFIT| 0.022| 0.006| 2.25e+07|HII   | 9.5
NGC3912               |14.12| 0.04|Sersic+psfAgn          |psfAgn   |bulge|    |     | 0.989| 1.25e+41| 1.25| 0.693| 0.780| 1.74e+08| 8.94e+09|GALFIT| 0.022| 0.006| 2.25e+07|HII   | 9.5
NGC3928               | 9.70| 0.04|Sersic                 |Sersic   |mixed| 3.7|  8.0| 0.993| 4.14e+42|     |      | 0.773|         | 6.44e+09|C->B/T| 0.179| 0.047| 1.69e+07|HII   | 4.2
NGC3934               |10.20| 0.04|Sersic                 |Sersic   |mixed| 4.9| 11.0| 0.956| 3.34e+43|     |      | 0.907|         | 6.10e+10|C->B/T| 0.119| 0.032| 6.16e+07|LINER | 5.7
UGC6865               |11.59| 0.05|Sersic+exDisk          |Sersic   |bulge| 4.0|  2.7| 0.965| 2.06e+43| 4.56| 1.387| 1.030| 5.75e+10| 1.70e+11|GALFIT| 0.253| 0.026| 9.12e+07|HII   | 7.4
UGC6865               |10.41| 0.04|Sersic+exDisk          |exDisk   |disk |    | 11.6| 0.965| 6.09e+43| 2.40| 0.882| 1.030| 1.08e+11| 1.70e+11|GALFIT| 0.253| 0.026| 9.12e+07|HII   | 7.4
UGC6901               |10.49| 0.04|Sersic                 |Sersic   |mixed| 2.4|  7.5| 0.951| 7.77e+43|     |      | 0.836|         | 1.31e+11|C->B/T| 0.167| 0.044| 1.08e+08|HII   | 8.7
CGCG013-010           |10.90| 0.03|Sersic                 |Sersic   |mixed| 2.3|  4.4| 0.906| 1.30e+44|     |      | 0.957|         | 2.50e+11|C->B/T| 0.151| 0.040| 1.72e+08|HII   | 4.7
NGC4014               | 9.55| 0.04|Sersic+psfAgn          |Sersic   |disk | 1.7| 11.1| 0.968| 6.36e+43| 2.26| 0.856| 0.932| 1.10e+11| 1.21e+11|GALFIT| 0.018| 0.003| 6.26e+07|HII   |12.1
NGC4014               |13.92| 0.08|Sersic+psfAgn          |psfAgn   |bulge|    |     | 0.968| 1.14e+42| 5.44| 1.667| 0.932| 3.82e+09| 1.21e+11|GALFIT| 0.018| 0.003| 6.26e+07|HII   |12.1
NGC4010               | 9.35| 0.04|Sersic                 |Sersic   |disk | 1.3| 53.9| 0.989| 5.83e+42| 2.01| 0.813| 0.468| 9.54e+09| 5.49e+09|GALFIT|      |      | 1.71e+07|HII   | 5.0
NGC4018               |12.60| 0.09|Sersic+exDisk          |Sersic   |bulge| 4.0|  5.3| 0.939| 5.00e+42| 2.20| 0.846| 0.812| 8.51e+09| 5.50e+10|GALFIT| 0.149| 0.040| 7.26e+07|HII   | 5.5
NGC4018               |10.71| 0.04|Sersic+exDisk          |exDisk   |disk |    |  8.6| 0.939| 2.85e+43| 1.81| 0.779| 0.812| 4.47e+10| 5.50e+10|GALFIT| 0.149| 0.040| 7.26e+07|HII   | 5.5
NGC4020               |10.50| 0.04|Sersic+psfAgn          |Sersic   |disk | 0.6| 26.4| 0.996| 1.42e+42| 1.54| 0.736| 0.766| 2.10e+09| 2.21e+09|GALFIT| 0.005| 0.018| 1.43e+07|LINER | 1.0
NGC4020               |16.16| 0.16|Sersic+psfAgn          |psfAgn   |bulge|    |     | 0.996| 7.75e+39| 3.66| 1.148| 0.766| 1.79e+07| 2.21e+09|GALFIT| 0.005| 0.018| 1.43e+07|LINER | 1.0
IRAS11571+3003        |13.16| 0.06|Sersic+psfAgn          |Sersic   |disk | 0.7|  4.8| 0.921| 2.65e+43| 2.35| 0.873| 0.880| 4.65e+10| 7.11e+10|GALFIT| 0.338| 0.090| 2.19e+08|HII   | 4.5
IRAS11571+3003        |13.89| 0.07|Sersic+psfAgn          |psfAgn   |bulge|    |     | 0.921| 1.35e+43| 3.43| 1.094| 0.880| 2.97e+10| 7.11e+10|GALFIT| 0.338| 0.090| 2.19e+08|HII   | 4.5
UGC7017               |10.57| 0.04|Sersic+psfAgn          |Sersic   |disk | 0.9|  8.4| 0.964| 1.92e+43| 1.98| 0.808| 0.798| 3.12e+10| 3.33e+10|GALFIT| 0.068| 0.011| 5.52e+07|HII   | 8.3
UGC7017               |13.42| 0.05|Sersic+psfAgn          |psfAgn   |bulge|    |     | 0.964| 1.39e+42| 2.10| 0.828| 0.798| 2.32e+09| 3.33e+10|GALFIT| 0.068| 0.011| 5.52e+07|HII   | 8.3
UGC7016               | 9.97| 0.04|Sersic+psfAgn          |Sersic   |disk | 2.4| 15.7| 0.936| 1.30e+44| 2.56| 0.912| 0.926| 2.39e+11| 2.58e+11|GALFIT| 0.061| 0.008| 1.10e+08|SN    | 3.8
UGC7016               |12.93| 0.04|Sersic+psfAgn          |psfAgn   |bulge|    |     | 0.936| 8.49e+42| 2.77| 0.953| 0.926| 1.63e+10| 2.58e+11|GALFIT| 0.061| 0.008| 1.10e+08|SN    | 3.8
MCG3-31-030           |11.38| 0.04|Sersic                 |Sersic   |disk | 0.6|  9.1| 0.996| 5.31e+41| 2.01| 0.813| 0.732| 8.69e+08| 7.82e+08|GALFIT|      |      | 1.31e+07|HII   | 1.0
NGC4062               |11.95| 0.06|Sersic+exDisk          |Sersic   |bulge| 4.0|  4.8| 0.993| 4.85e+41| 3.47| 1.103| 0.839| 1.08e+09| 3.00e+10|GALFIT| 0.027| 0.007| 1.63e+07|HII   |13.2
NGC4062               | 8.07| 0.04|Sersic+exDisk          |exDisk   |disk |    | 34.8| 0.993| 1.73e+43| 2.11| 0.830| 0.839| 2.89e+10| 3.00e+10|GALFIT| 0.027| 0.007| 1.63e+07|HII   |13.2
NGC4064               | 8.63| 0.04|Sersic                 |Sersic   |mixed| 2.1| 32.7| 0.997| 2.82e+42|     |      | 0.900|         | 5.10e+09|C->B/T| 0.122| 0.032| 8.50e+06|HII   | 3.2
CGCG098-059           |10.99| 0.04|Sersic+psfAgn          |Sersic   |disk | 1.9|  5.2| 0.935| 4.35e+43| 2.04| 0.818| 0.841| 7.16e+10| 8.53e+10|GALFIT| 0.137| 0.035| 1.02e+08|HII   | 8.7
CGCG098-059           |12.99| 0.06|Sersic+psfAgn          |psfAgn   |bulge|    |     | 0.935| 6.90e+42| 2.22| 0.849| 0.841| 1.18e+10| 8.53e+10|GALFIT| 0.137| 0.035| 1.02e+08|HII   | 8.7
NGC4116               |10.61| 0.04|Sersic_n4              |Sersic_n4|bulge| 4.0| 31.0| 0.998| 1.61e+42| 2.65| 0.929| 0.806| 3.01e+09| 2.62e+09|GALFIT| 1.000| 0.265| 1.60e+07|HII   | 2.3
NGC4136               | 9.76| 0.04|Sersic+psfAgn          |Sersic   |disk | 1.0| 26.8| 0.991| 3.64e+42| 1.76| 0.771| 0.823| 5.65e+09| 6.31e+09|GALFIT| 0.044| 0.008| 1.63e+07|HII   | 1.7
NGC4136               |13.10| 0.04|Sersic+psfAgn          |psfAgn   |bulge|    |     | 0.991| 1.68e+41| 1.01| 0.659| 0.823| 2.23e+08| 6.31e+09|GALFIT| 0.044| 0.008| 1.63e+07|HII   | 1.7
NGC4150               | 8.79| 0.04|Sersic+psfAgn          |Sersic   |disk | 3.6| 19.6| 0.994| 6.30e+42| 2.22| 0.849| 0.881| 1.08e+10| 1.22e+10|GALFIT| 0.086| 0.022| 1.37e+07|SN    | 1.0
NGC4150               |11.36| 0.04|Sersic+psfAgn          |psfAgn   |bulge|    |     | 0.994| 5.90e+41| 3.01| 1.002| 0.881| 1.19e+09| 1.22e+10|GALFIT| 0.086| 0.022| 1.37e+07|SN    | 1.0
IRAS12086+1441        |12.94| 0.04|Sersic                 |Sersic   |disk | 1.1|  2.0| 0.983| 1.25e+41| 2.01| 0.813| 0.783| 2.04e+08| 1.96e+08|GALFIT|      |      | 1.31e+07|HII   | 5.3
NGC4162               |12.00| 0.05|Sersic+exDisk          |Sersic   |bulge| 4.0|  1.2| 0.983| 3.12e+42| 3.46| 1.101| 0.864| 6.91e+09| 6.45e+10|GALFIT| 0.084| 0.035| 4.25e+07|HII   |22.2
NGC4162               | 9.41| 0.04|Sersic+exDisk          |exDisk   |disk |    | 11.0| 0.983| 3.39e+43| 1.83| 0.783| 0.864| 5.34e+10| 6.45e+10|GALFIT| 0.084| 0.035| 4.25e+07|HII   |22.2
NGC4178               | 8.83| 0.04|Sersic+psfAgn          |Sersic   |disk | 2.2|103.5| 1.005| 9.23e+42| 1.65| 0.754| 0.797| 1.40e+10| 1.48e+10|GALFIT|      |      | 1.68e+07|HII   |14.5
NGC4178               |18.30| 2.04|Sersic+psfAgn          |psfAgn   |bulge|    |     | 1.005| 1.50e+39| 2.74| 0.947| 0.797| 2.86e+06| 1.48e+10|GALFIT|      |      | 1.68e+07|HII   |14.5
IRAS12112+0305        |12.86| 0.03|Sersic                 |Sersic   |disk | 0.2|  2.3| 0.821| 6.02e+43| 2.01| 0.813| 0.788| 9.85e+10| 9.54e+10|GALFIT|      |      | 3.04e+08|SN    |15.5
NGC4189               | 8.95| 0.04|Sersic+psfAgn          |Sersic   |disk | 1.0| 38.4| 0.990| 8.14e+42| 2.00| 0.811| 0.848| 1.33e+10| 1.43e+10|GALFIT| 0.028| 0.003| 1.68e+07|HII   | 5.0
NGC4189               |12.80| 0.04|Sersic+psfAgn          |psfAgn   |bulge|    |     | 0.990| 2.35e+41| 2.21| 0.847| 0.848| 4.00e+08| 1.43e+10|GALFIT| 0.028| 0.003| 1.68e+07|HII   | 5.0
NGC4194               | 9.60| 0.04|Sersic+psfAgn          |Sersic   |disk | 5.0|  5.9| 0.981| 2.04e+43| 0.85| 0.637| 0.687| 2.61e+10| 3.03e+10|GALFIT| 0.074| 0.014| 3.60e+07|HII   |14.2
NGC4194               |12.35| 0.05|Sersic+psfAgn          |psfAgn   |bulge|    |     | 0.981| 1.62e+42| 3.47| 1.103| 0.687| 3.60e+09| 3.03e+10|GALFIT| 0.074| 0.014| 3.60e+07|HII   |14.2
